Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Brand_Hashed,Price_Encrypted,Brand_Encrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,398ef1e5b4a9550bf7be599cb6f97d9e3de83acb4d942e04d9e8ad772897ffa2,gAAAAABn_AsteIJJ2xpLfrC1_OkjRBlrmaLoTetZM3YbVKThFqIxJTB0sfg5wGyY-hlqNGvK5wAD7u4T-vR9nXIdoJlXqtyXKcrhJNkcfROa4Roco3JVNu4=,gAAAAABn_Astp0UljMEWoufynksISIQl50iu8yY9zIiDUSDIqvfcCN0zvTSyTF0fbF4vk016GieWyuzjxXPTFkGYXmPcjF0A0A==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,42a25e76de60584238905609739a4b0bdca7bf7df9a55a68aae15633e84aa931,gAAAAABn_AstDFqGTVOdxA1pO8pysr6xxSAMKyL3D2ucKq6immgkRQKu6tVHyBucZ5QhAfb3IEsia-Lqi55VTYLDQDBOE8tsp-a5B97PjtpCLRYy3sRchu4=,gAAAAABn_AstXHauLGGRmjox3c_ZKIC-GKrnNK0bchrp50-o2By_yv6vpQJqfAG2uchJDTTwsMmxKTof3ki_Ntyp6ZO2U8g19Q==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,acec4064d0fcc0d59e8178f5feda22f65c16052768b7babd91f529b129b8074d,gAAAAABn_AstOE_Mu620t_7jUhJum2qr72P4osDxzNDEIN9FFSZ6vp2cTCEcsrb5FdjbXWONqJI-OqPHVDKeptiVjWHMVR0fVaDi-IsGmVHrJzyjMORb7a0=,gAAAAABn_AstDAaUy_9-C9L9AJSEN3acs1QRflR6XgAXq1K0chQE32ttslNyoHnv80oWTLnfKt3r6fK9AQhSA9wBLhjHc6gKng==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,42a25e76de60584238905609739a4b0bdca7bf7df9a55a68aae15633e84aa931,gAAAAABn_AstD-E_ya70jW4h2pvN4jDw9BZZb7ax_VhJMSsHKSSOPz3PsciQiADzlnkp5jAoXB39wm5tYuUDgg5PqANHi_MjCktT9yx5s65HXnhZZc0OMPI=,gAAAAABn_AstuDjJVUu71GFwJ2MGneWpAs8tvIOYw2IIfSs8zdLGM-komAJCtWBVGiygse4mHDNxWBYFOG5KV0fSTrGkY4nFHg==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,42a25e76de60584238905609739a4b0bdca7bf7df9a55a68aae15633e84aa931,gAAAAABn_AstK4E7PPbHe6NzTD6E0MCo0K-BfskECCDz_2LxzDvy0fw2dSioq4qkBKF-S6YqXivNDJdtPjWKOWtE6z_JDqQOYAv0mQKwptWz2eFu3dEX1GQ=,gAAAAABn_AstwhDmnAC05M2zenHpje6PIedW3hJkZGorGFIajXGPXUrf3JUrmyPj1O_rti415nnFuY6wFktsLKaPg7F4Ii20BQ==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,9449a7aaa80c99ead5ca08d4c72f0905780cb5008036127b26fe20da07419ac0,gAAAAABn_AstqUZDowfmAR4jOqGnKZNpFkC58HjiuRbbJmU2VUCtlac41R_-xxsOwejYRAHuqM0d911Y5mefqW0fzqsh50ItoU0ubs49XjRjogb2rEsIxOU=,gAAAAABn_AstvnPoOYrhJWT1A-9u32pQ16NGTra9Olm3A78QR5pQi7D53ZmSIE0LxDzYUcj2SVNzbflGN0L3Xot3bPVJMc4xeQ==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,acec4064d0fcc0d59e8178f5feda22f65c16052768b7babd91f529b129b8074d,gAAAAABn_AstpDNpcRyCgsHmdjl32BX3z8ztQIsHZhrTPax84_dFhbkrJvfOsxh3YJ8_7jz833wNP5Elm5pfZ8SDSFnBqLhf4D8Kczh-ouHECxth3nIERr8=,gAAAAABn_AstIiik0-H16F-sU-KivUEyUyOMworCKETDQmCvpDOBi30Yu-P2HSmZCgBxiYmhn9svBrpEB-AooLoc75UNbwfYpg==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,acec4064d0fcc0d59e8178f5feda22f65c16052768b7babd91f529b129b8074d,gAAAAABn_AstCuyzA7mTmRYEFcS8Ujl771x0PcmVHBrqcNBAzOq2X5ktNQDFjm-nqVEg2Tw02ykBS4Hp9GiOeetveHNIfvOmoeVp_VX429SRR_NUjdPCnuU=,gAAAAABn_AstHpdbJ9RkjDDSeuQYdr15UlvIwpMv4ZsEsqN0e05m2NfrgqN4uO_uoVLeE4kPc-I--j7h6vUl2xWR2mqSpeNTtA==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,acec4064d0fcc0d59e8178f5feda22f65c16052768b7babd91f529b129b8074d,gAAAAABn_AstQxo-a-VokF5-iHg-3iiEZPPexcvJTZvBAtVyiViJuLbdggx8cAiP-B5xQSh4cFUUGaHyIvJ-l0S1WEvIp8Vozlu1hxzi-drl4fRdThS4L3g=,gAAAAABn_AstKngibYejYNAL0DXKVQcNXbHEs6W7Bi6fZ2DpadDoTLQEVzvqPdZioeRUxddvPjTtubQMCFrmYRaYTlfQpYGv-Q==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,42a25e76de60584238905609739a4b0bdca7bf7df9a55a68aae15633e84aa931,gAAAAABn_AstGAydB0r1KuVahtPn9DpJQTkQy4HVSR0tJq4PLcsh7IDnoTcNYmM4pYTCO3QPRSpqlrtWJvJLBiZAqKakQrUDFJfAmEckPhQWT0kpev8AMOE=,gAAAAABn_Astodi_ylvp5SuhCYuc0bBQNar1LlIyQAZbFjyvU7C5o-RQRE68KtrbPCtMO8D5Dky_dlB6aQj_AGwMM4ZvWPeUgg==
Asus,3.835917536922537,4,1000,14.295858628880625,3.0923383250314984,31967.607631536364,cc5d53247bb05bf452e7a6fb5f299dd4e7b77719007d2f200ab2fb497c02e29c,398ef1e5b4a9550bf7be599cb6f97d9e3de83acb4d942e04d9e8ad772897ffa2,gAAAAABn_Asta4y3p3JJWyFAS9kgqsZwdB2jebE3xfQ_R0egrScZeVRaS_J2vH6Z6t6eCU6WbN0hB7f_VQk4_ZH3aognVq85kEes_ijYoeFqpQjw4PC1eSY=,gAAAAABn_AstjyJjWMMhyGd3Lj-RFIE9zh7s6xB28dy_i_aRNRVTYauJq5dMH3mncgO77BagmB7QqXOQa3t073i9WGna30dwrQ==
Lenovo,3.813921282266941,32,512,12.871904121958512,3.6986450472578496,18534.108629919712,06b3c6ca37e5fef3ba7f69c3b11f896842f0e9f4bfba72137e429be10171e1d4,acec4064d0fcc0d59e8178f5feda22f65c16052768b7babd91f529b129b8074d,gAAAAABn_AstVbCur4MA35Obmf5oWzXsLWy4wVpYZ0N2dz8Hk-g_dtjh4kG1jTsnVCSvxDjqiof7_8h1Piab-z8p7xdaoKRhOvpmhApsGTqNsbhpc-HoCy4=,gAAAAABn_AstDiLKNn6cdyk2i_q6bJZlJ0XEO0pcZZOPH4lsoNtKz-9Ovf_M7qt3XIh386gIYOLXFdzVCZdUbpAeoj56NJnx1w==
Acer,2.6270984285103305,8,512,13.895002521412165,2.018772413079411,17495.98363758707,1c3514d02fadb490459d0621f8dbb4840dad5e1467ec32970d1c56ec0a074452,42a25e76de60584238905609739a4b0bdca7bf7df9a55a68aae15633e84aa931,gAAAAABn_AstGBrV8t6bQ_E_MtzBCn_F_iRCCvujgl-n3WA56UG8VUJrvVyV0Cj9nHkpMAKNfkCboLhYM7XCNU_k35WRUWXQdyA58ACRpEEV3BxdkwW6b74=,gAAAAABn_AstOIXeFqi0cu_fi-n0Jyx_woPxR3enEsvrQ0xvVcLMOpD0OD43NL6AtWM47vX20ZPOteHajfgC3iL9UlQoF4k-tg==
HP,1.783095114601888,16,256,14.040035893896476,2.1856571050414257,9731.982415267874,befd86541b00a1beea95c3c064e3b21738217b541cea9ae39e76d682df68a607,9449a7aaa80c99ead5ca08d4c72f0905780cb5008036127b26fe20da07419ac0,gAAAAABn_Ast_wPAqhfbt1siPNomk8G5CLQeBXtCdUxx061ks9G-EB3n3iYjSGoMdwjyR3S6_ccsdMcnz4FIrqbO0lvOUM4gNsu_xtiut_aEAAmWbNOS63g=,gAAAAABn_AstZC5MAAdpTaFnbLbmiPQM3pniWnddFg3YvfHbEmk7h2FR-cyAgqDrQMVke0bencYm4SZORppGUMY1vQ9BWaFANQ==
Asus,3.962102997405837,8,256,13.323423627068577,3.6061038235449536,9831.389961542602,a32e8112ad4cca6a4c5b4678e9a84823ea26fe724850bb8cd552aa77253725ac,398ef1e5b4a9550bf7be599cb6f97d9e3de83acb4d942e04d9e8ad772897ffa2,gAAAAABn_AstYlFWAmi47HKS_zP9JCIh9PD2wqjkzTQvylOY4Cs8Fv4z_GCljb9CNZvjByac5rlR7yISQOcZ1w4EOECmH7U_I_kQP8zt7GAZgQ2FNCGf34k=,gAAAAABn_Ast24Cq3vkh604hggUn36aGW3USwUJ0zrM1QEiGc-7TSFA8-PP9ltbwfnhHLfsTxj6a_POgalKlybVQQR__AoaHkg==
HP,3.5972452161148354,32,256,16.439433264032978,3.698214939344495,11038.928125612205,4420f8ed435ae6dc11e3dc607559dac0f8f97e03fb44dfdbee0d3cad3dfdba7e,9449a7aaa80c99ead5ca08d4c72f0905780cb5008036127b26fe20da07419ac0,gAAAAABn_Ast01SBxG1EMKrHkKdmTUUSWxMea_97KcN7Dm0pKJIxbUD_5vabR_4l2Kf6OA9JvYqPNChufss4TFu0LzXBixf9TXRchJ_o9iO_NX0ihHTFxJw=,gAAAAABn_AstRHURGl2PnkSev9oZoFnkmG1dxR4EcpGDmz3APzGe3sdgTpyxXBipqyT-55I8pLfvD9wD0Fo9G35A7PDyzaaAyw==
Asus,1.8116567030081672,16,256,11.096371189886035,4.254358833378031,8971.512504748447,da2d995346a35c31f2cb036ddd79a0f5a9a4140da81b88c8c7419a60fef40691,398ef1e5b4a9550bf7be599cb6f97d9e3de83acb4d942e04d9e8ad772897ffa2,gAAAAABn_AstVvvhaSA5jsqnwKNr4uEfL1xQv_Zy6IfAVNCribIpoR21NBsy1RSc9-tk9VFig5Hz4k6nAJ4ADG-kShnybIIbfuyllc0YLtp3d53BKMDl1ko=,gAAAAABn_AstgNhmSQ0Y4kbhqs8x49iFZ0uZNNX99U-P8DnSFWHA6af47bdVkYF-0SnzI7Ylk-rLiPGuP9bYtAxzCxRNKsrKEQ==
Acer,3.802104706543431,32,256,15.693027578547476,2.3958959588718853,10915.05717304083,d8763bc92b2968e21aba7a08f16922ca22d9c5248a821c374ced1c8603cde768,42a25e76de60584238905609739a4b0bdca7bf7df9a55a68aae15633e84aa931,gAAAAABn_AstJmaIfgZ5gFNp5DdvoinpxYpeCo2wVtNEuwHEjhvMmJuI3jEDqNaZQ2Nso6KlZp3NdXh4Zy8G4p2ZiFSsHbNz8QxbgoCNibpe-jpJdr0ySHQ=,gAAAAABn_Ast24u7Cq6D-M4KGyZuMmUc8lJVPDL3vCjsPippq6G4lPFth1WOKTQxH7S7QudHnBiv3kZnPdk9N9TnwOtttDMokw==
Dell,3.674740905155321,16,256,11.746296987447948,3.539549251270336,9637.891638203962,00efcb1507b5ab10a2e80b37f59ea694bd3b66f7ad09eb9310f3cf9b61bbc826,e9c5e07631ef4658d1b0613f0bf1e906f2d3471ed62264bf41d22151b592a618,gAAAAABn_AstGzgDCpm3fj50cYpTa9SeGYyw-g0m2XJCWNvBeMxVDPIntN2aY4jGoVklCUN038fKpwSOxpoUNIfOzV4i6HP2nAPssA-Lr_0PbynZ1AUBghI=,gAAAAABn_Ast2sqHk81xsHAagoS0JfnD3o4on9_BXmfq8C8S5d85mXqmCqtPs5LfOo_L_pd1IgFxZW2FMbITE3D3azArcMYtrA==
Asus,2.79709514281518,16,256,15.785284163223196,2.5833429332950657,9593.110592180388,930869f03827b8fa2e51641ee24f5bddb5e01a20a0d0575dad7f009c3f54e02d,398ef1e5b4a9550bf7be599cb6f97d9e3de83acb4d942e04d9e8ad772897ffa2,gAAAAABn_AstwZVfYUvlDbt841hNGevbjRbuOiIC_Ojlj0Bcekkl74UXGLjWT4Ep63fmce7sDMsp58HdkZuvkRWAAn7KQHouiuPt02AarEbaWhIRH6EqJ74=,gAAAAABn_AstsAEmWtCCo3C6q3R5MexNUgAsCZscOPRpaXokbkztmLc7Z18P9gHobRh0LwXAx_1rxyNFaWRtmO7RljFtQXRO9Q==
HP,2.9781885893623232,16,1000,14.695471494060328,2.279588358688084,31965.356609806408,02ef9675ecf6c0700c0986428113b2d9f188e11c68256e5bffd9d5d19577984c,9449a7aaa80c99ead5ca08d4c72f0905780cb5008036127b26fe20da07419ac0,gAAAAABn_Astg3AIKf8Z0R3jCl_cU6wxizicarGxH6qIxR0dGPzlGbJ_eX7SRcyHg-Ay-c-uyeFMga_RyJZaY85RqR4pnv4jgFJF373LO1czcNlFZZqw2UA=,gAAAAABn_Ast-IFU-z47J06U6jqv6M6-KZpbSqw3kN-fMXsSJgfx-fRfij9vLEgqXQqElhVi-r2iGChBosOi8H-Ay_rznHa1dw==
